Region,Year,Type of alcoholic beverages,Consumption of alcoholic beverages (thousands of decaliters),Consumption of alcoholic beverages (in liters per capita),Consumption of alcoholic beverages (in liters of pure alcohol per capita)
Lipetsk Oblast,2018,Wine,311.05,2.67,0.29
Moscow Oblast,2018,Wine,4876.90,6.03,0.66
Oryol Oblast,2018,Wine,200.62,2.69,0.30
Ryazan Oblast,2018,Wine,361.88,3.20,0.35
Smolensk Oblast,2018,Wine,356.11,3.81,0.42
Tambov Oblast,2018,Wine,205.65,1.99,0.22
Tver Oblast,2018,Wine,552.95,4.32,0.47
Tula Oblast,2018,Wine,512.50,3.34,0.37
Yaroslavl Oblast,2018,Wine,630.91,5.04,0.55
Moscow,2018,Wine,6837.16,5.40,0.59
Republic of Karelia,2018,Wine,394.38,6.90,0.76
Komi Republic,2018,Wine,387.05,4.86,0.53
Nenets Autonomous Okrug,2018,Wine,35.48,8.44,0.93
Vologda Oblast,2018,Wine,539.51,4.59,0.50
Kaliningrad Oblast,2018,Wine,520.58,5.22,0.57
Leningrad Oblast,2018,Wine,1131.02,6.04,0.66
Murmansk Oblast,2018,Wine,392.23,5.49,0.60
Novgorod Oblast,2018,Wine,272.12,4.51,0.50
Pskov Oblast,2018,Wine,280.58,4.48,0.49
Saint Petersburg,2018,Wine,3759.09,6.84,0.75
Arkhangelsk Oblast,2018,Wine,556.04,5.30,0.58
Adygea,2018,Wine,109.39,2.31,0.25
Kalmykia,2018,Wine,28.44,1.04,0.11
Republic of Crimea,2018,Wine,801.98,4.16,0.46
Krasnodar Krai,2018,Wine,2235.33,3.92,0.43
Astrakhan Oblast,2018,Wine,204.71,2.05,0.23
Volgograd Oblast,2018,Wine,563.45,2.21,0.24
Rostov Oblast,2018,Wine,849.43,2.00,0.22
Sevastopol,2018,Wine,259.03,5.40,0.59
Dagestan,2018,Wine,70.02,0.23,0.02
Ingushetia,2018,Wine,1.56,0.03,0.00
Kabardino-Balkaria,2018,Wine,31.47,0.35,0.04
Karachay-Cherkessia,2018,Wine,28.28,0.60,0.07
North Ossetia-Alania,2018,Wine,22.28,0.32,0.03
Chechnya,2018,Wine,1.44,0.01,0.00
Stavropol Krai,2018,Wine,496.29,1.72,0.19
Bashkortostan,2018,Wine,915.14,2.22,0.24
Mari El,2018,Wine,173.07,2.52,0.28
Mordovia,2018,Wine,150.42,1.85,0.20
Tatarstan,2018,Wine,925.96,2.33,0.26
Udmurtia,2018,Wine,448.52,3.01,0.33
Chuvashia,2018,Wine,263.14,2.15,0.24
Perm Krai,2018,Wine,902.03,3.46,0.38
Kirov Oblast,2018,Wine,446.61,3.64,0.40
Nizhny Novgorod Oblast,2018,Wine,1166.12,3.63,0.40
Orenburg Oblast,2018,Wine,477.57,2.47,0.27
Penza Oblast,2018,Wine,277.58,2.10,0.23
Samara Oblast,2018,Wine,1063.34,3.31,0.36
Saratov Oblast,2018,Wine,539.61,2.15,0.24
Ulyanovsk Oblast,2018,Wine,347.39,2.80,0.31
Kurgan Oblast,2018,Wine,202.50,2.46,0.27
Sverdlovsk Oblast,2018,Wine,1942.53,4.49,0.49
Khanty–Mansi Autonomous Okrug – Yugra,2018,Wine,549.24,3.30,0.36
Yamalo-Nenets Autonomous Okrug,2018,Wine,184.61,3.61,0.40
Chelyabinsk Oblast,2018,Wine,1196.95,3.42,0.38
Tyumen Oblast,2018,Wine,503.52,3.29,0.36
Altai Republic,2018,Wine,50.28,2.38,0.26
Tuva,2018,Wine,21.73,0.67,0.07
Khakassia,2018,Wine,131.87,2.44,0.27
Altai Krai,2018,Wine,536.95,2.36,0.26
Krasnoyarsk Krai,2018,Wine,897.90,3.12,0.34
Irkutsk Oblast,2018,Wine,793.06,3.29,0.36
Kemerovo Oblast,2018,Wine,674.83,2.51,0.28
Novosibirsk Oblast,2018,Wine,976.85,3.49,0.38
Omsk Oblast,2018,Wine,526.66,2.71,0.30
Tomsk Oblast,2018,Wine,346.49,3.22,0.35
Buryatia,2018,Wine,180.56,1.84,0.20
Sakha (Yakutia),2018,Wine,223.00,2.30,0.25
Zabaykalsky Krai,2018,Wine,235.98,2.26,0.25
Kamchatka Krai,2018,Wine,135.17,4.47,0.49
Primorsky Krai,2018,Wine,768.29,4.05,0.45
Khabarovsk Krai,2018,Wine,472.28,3.57,0.39
Amur Oblast,2018,Wine,263.95,3.33,0.37
Magadan Oblast,2018,Wine,62.31,4.36,0.48
Sakhalin Oblast,2018,Wine,223.43,4.67,0.51
Jewish Autonomous Oblast,2018,Wine,41.00,2.58,0.28
Chukotka Autonomous Okrug,2018,Wine,13.09,2.73,0.30
Belgorod Oblast,2019,Wine,302.14,1.95,0.21
Bryansk Oblast,2019,Wine,328.51,2.74,0.30
Vladimir Oblast,2019,Wine,536.95,3.89,0.43
Voronezh Oblast,2019,Wine,665.27,2.84,0.31
Ivanovo Oblast,2019,Wine,347.96,3.60,0.40
Kaluga Oblast,2019,Wine,430.44,4.09,0.45
Kostroma Oblast,2019,Wine,235.58,3.89,0.43
Kursk Oblast,2019,Wine,267.52,2.43,0.27
Lipetsk Oblast,2019,Wine,311.46,2.68,0.29
Moscow Oblast,2019,Wine,5027.69,6.11,0.67
Oryol Oblast,2019,Wine,201.08,2.73,0.30
Ryazan Oblast,2019,Wine,353.73,3.15,0.35
Smolensk Oblast,2019,Wine,342.80,3.70,0.41
Tambov Oblast,2019,Wine,202.43,1.99,0.22
Tver Oblast,2019,Wine,529.18,4.18,0.46
Tula Oblast,2019,Wine,511.51,3.35,0.37
Yaroslavl Oblast,2019,Wine,621.57,5.00,0.55
Moscow,2019,Wine,6993.17,5.45,0.60
Republic of Karelia,2019,Wine,402.92,7.20,0.79
Komi Republic,2019,Wine,371.94,4.77,0.53
Nenets Autonomous Okrug,2019,Wine,34.35,8.25,0.91
Vologda Oblast,2019,Wine,561.41,4.81,0.53
Kaliningrad Oblast,2019,Wine,561.96,5.59,0.62
Leningrad Oblast,2019,Wine,1207.04,6.31,0.69
Murmansk Oblast,2019,Wine,396.98,5.64,0.62
Novgorod Oblast,2019,Wine,268.82,4.50,0.50
Pskov Oblast,2019,Wine,283.43,4.59,0.50
Saint Petersburg,2019,Wine,3922.01,7.07,0.78
Arkhangelsk Oblast,2019,Wine,563.50,5.47,0.60
Adygea,2019,Wine,90.19,1.89,0.21
Kalmykia,2019,Wine,30.20,1.11,0.12
Republic of Crimea,2019,Wine,850.31,4.40,0.48
Krasnodar Krai,2019,Wine,2202.46,3.83,0.42
Astrakhan Oblast,2019,Wine,186.77,1.88,0.21
Volgograd Oblast,2019,Wine,550.56,2.17,0.24
Rostov Oblast,2019,Wine,856.58,2.02,0.22
Sevastopol,2019,Wine,272.86,5.46,0.60
Dagestan,2019,Wine,77.48,0.25,0.03
Ingushetia,2019,Wine,1.26,0.03,0.00
Kabardino-Balkaria,2019,Wine,32.53,0.36,0.04
Karachay-Cherkessia,2019,Wine,25.53,0.54,0.06
North Ossetia-Alania,2019,Wine,23.67,0.34,0.04
Chechnya,2019,Wine,2.83,0.02,0.00
Stavropol Krai,2019,Wine,480.64,1.67,0.18
Bashkortostan,2019,Wine,971.98,2.36,0.26
Mari El,2019,Wine,169.89,2.48,0.27
Mordovia,2019,Wine,148.14,1.84,0.20
Tatarstan,2019,Wine,984.32,2.47,0.27
Udmurtia,2019,Wine,438.82,2.96,0.33
Chuvashia,2019,Wine,264.58,2.18,0.24
Perm Krai,2019,Wine,929.16,3.59,0.39
Kirov Oblast,2019,Wine,466.97,3.86,0.42
Nizhny Novgorod Oblast,2019,Wine,1458.14,4.57,0.50
Orenburg Oblast,2019,Wine,469.12,2.46,0.27
