Region,Year,Type of alcoholic beverages,Consumption of alcoholic beverages (thousands of decaliters),Consumption of alcoholic beverages (in liters per capita),Consumption of alcoholic beverages (in liters of pure alcohol per capita)
Voronezh Oblast,2022,Beer,9008.07,39.12,1.96
Ivanovo Oblast,2022,Beer,4854.00,52.53,2.63
Kaluga Oblast,2022,Beer,4917.61,45.82,2.29
Kostroma Oblast,2022,Beer,3509.66,60.72,3.04
Kursk Oblast,2022,Beer,4419.42,40.99,2.05
Lipetsk Oblast,2022,Beer,4915.11,43.19,2.16
Moscow Oblast,2022,Beer,50725.53,59.38,2.97
Oryol Oblast,2022,Beer,2876.03,40.51,2.03
Ryazan Oblast,2022,Beer,5695.72,51.85,2.59
Smolensk Oblast,2022,Beer,4741.68,53.46,2.67
Tambov Oblast,2022,Beer,3490.69,35.65,1.78
Tver Oblast,2022,Beer,6450.45,52.61,2.63
Tula Oblast,2022,Beer,5739.08,38.35,1.92
Yaroslavl Oblast,2022,Beer,6818.86,56.56,2.83
Moscow,2022,Beer,39938.50,30.69,1.53
Republic of Karelia,2022,Beer,3575.40,67.16,3.36
Komi Republic,2022,Beer,5231.60,71.24,3.56
Nenets Autonomous Okrug,2022,Beer,233.01,56.25,2.81
Vologda Oblast,2022,Beer,6636.22,58.29,2.91
Kaliningrad Oblast,2022,Beer,3951.27,38.33,1.92
Leningrad Oblast,2022,Beer,11040.85,55.04,2.75
Murmansk Oblast,2022,Beer,4942.28,74.29,3.71
Novgorod Oblast,2022,Beer,3193.46,54.91,2.75
Pskov Oblast,2022,Beer,3218.43,53.92,2.70
Saint Petersburg,2022,Beer,19843.43,35.38,1.77
Arkhangelsk Oblast,2022,Beer,5219.22,53.55,2.68
Adygea,2022,Beer,2267.76,45.51,2.28
Kalmykia,2022,Beer,610.67,22.92,1.15
Republic of Crimea,2022,Beer,9561.44,49.51,2.48
Krasnodar Krai,2022,Beer,24002.66,41.16,2.06
Astrakhan Oblast,2022,Beer,3487.38,36.41,1.82
Volgograd Oblast,2022,Beer,8904.49,35.72,1.79
Rostov Oblast,2022,Beer,12012.51,28.65,1.43
Sevastopol,2022,Beer,2135.54,39.01,1.95
Dagestan,2022,Beer,1570.19,4.93,0.25
Ingushetia,2022,Beer,18.37,0.36,0.02
Kabardino-Balkaria,2022,Beer,549.67,6.08,0.30
Karachay-Cherkessia,2022,Beer,396.75,8.46,0.42
North Ossetia-Alania,2022,Beer,404.12,5.90,0.29
Chechnya,2022,Beer,231.07,1.53,0.08
Stavropol Krai,2022,Beer,6985.49,24.07,1.20
Bashkortostan,2022,Beer,22125.14,54.07,2.70
Mari El,2022,Beer,3141.62,46.45,2.32
Mordovia,2022,Beer,3209.51,41.07,2.05
Tatarstan,2022,Beer,20296.16,50.74,2.54
Udmurtia,2022,Beer,7723.92,53.31,2.67
Chuvashia,2022,Beer,4692.60,39.64,1.98
Perm Krai,2022,Beer,13190.92,52.24,2.61
Kirov Oblast,2022,Beer,8164.51,71.05,3.55
Nizhny Novgorod Oblast,2022,Beer,15369.64,49.44,2.47
Orenburg Oblast,2022,Beer,8573.98,46.20,2.31
Penza Oblast,2022,Beer,6250.98,49.57,2.48
Samara Oblast,2022,Beer,19148.59,60.51,3.03
Saratov Oblast,2022,Beer,10029.55,41.26,2.06
Ulyanovsk Oblast,2022,Beer,5463.61,45.85,2.29
Kurgan Oblast,2022,Beer,4881.43,63.20,3.16
Sverdlovsk Oblast,2022,Beer,28898.58,67.78,3.39
Khanty–Mansi Autonomous Okrug – Yugra,2022,Beer,9316.53,54.36,2.72
Yamalo-Nenets Autonomous Okrug,2022,Beer,3347.95,65.49,3.27
Chelyabinsk Oblast,2022,Beer,17298.68,50.56,2.53
Tyumen Oblast,2022,Beer,9450.17,58.97,2.95
Altai Republic,2022,Beer,918.86,43.59,2.18
Tuva,2022,Beer,730.63,21.73,1.09
Khakassia,2022,Beer,3776.94,70.86,3.54
Altai Krai,2022,Beer,11789.46,54.71,2.74
Krasnoyarsk Krai,2022,Beer,12785.00,44.76,2.24
Irkutsk Oblast,2022,Beer,12471.12,52.77,2.64
Kemerovo Oblast,2022,Beer,14406.85,55.58,2.78
Novosibirsk Oblast,2022,Beer,14663.06,52.42,2.62
Omsk Oblast,2022,Beer,7935.38,42.86,2.14
Tomsk Oblast,2022,Beer,5767.64,54.27,2.71
Buryatia,2022,Beer,3340.81,34.16,1.71
Sakha (Yakutia),2022,Beer,3570.66,35.78,1.79
Zabaykalsky Krai,2022,Beer,3646.10,36.44,1.82
Kamchatka Krai,2022,Beer,1899.66,64.93,3.25
Primorsky Krai,2022,Beer,10044.52,54.53,2.73
Khabarovsk Krai,2022,Beer,8859.73,68.53,3.43
Amur Oblast,2022,Beer,4924.28,64.49,3.22
Magadan Oblast,2022,Beer,723.68,53.25,2.66
Sakhalin Oblast,2022,Beer,3109.64,66.73,3.34
Jewish Autonomous Oblast,2022,Beer,1097.28,73.36,3.67
Chukotka Autonomous Okrug,2022,Beer,225.90,47.15,2.36
Belgorod Oblast,2023,Beer,7367.83,48.65,2.43
Bryansk Oblast,2023,Beer,5191.65,45.05,2.25
Vladimir Oblast,2023,Beer,7699.86,58.09,2.90
Voronezh Oblast,2023,Beer,9639.15,42.18,2.11
Ivanovo Oblast,2023,Beer,4795.06,52.42,2.62
Kaluga Oblast,2023,Beer,4888.33,45.65,2.28
Kostroma Oblast,2023,Beer,3425.78,59.90,3.00
Kursk Oblast,2023,Beer,4584.64,42.97,2.15
Lipetsk Oblast,2023,Beer,5219.65,46.34,2.32
Moscow Oblast,2023,Beer,49759.90,57.92,2.90
Oryol Oblast,2023,Beer,2927.25,41.80,2.09
Ryazan Oblast,2023,Beer,5602.21,51.45,2.57
Smolensk Oblast,2023,Beer,4615.64,52.87,2.64
Tambov Oblast,2023,Beer,3553.60,36.78,1.84
Tver Oblast,2023,Beer,6300.38,52.02,2.60
Tula Oblast,2023,Beer,5680.37,38.34,1.92
Yaroslavl Oblast,2023,Beer,6643.07,55.61,2.78
Moscow,2023,Beer,39598.15,30.22,1.51
Republic of Karelia,2023,Beer,3397.38,64.36,3.22
Komi Republic,2023,Beer,5478.00,75.41,3.77
Nenets Autonomous Okrug,2023,Beer,353.22,85.35,4.27
Vologda Oblast,2023,Beer,6507.68,57.65,2.88
Kaliningrad Oblast,2023,Beer,3467.07,33.58,1.68
Leningrad Oblast,2023,Beer,11553.60,57.09,2.85
Murmansk Oblast,2023,Beer,4845.16,73.56,3.68
Novgorod Oblast,2023,Beer,3229.48,56.07,2.80
Pskov Oblast,2023,Beer,3222.43,54.82,2.74
Saint Petersburg,2023,Beer,20813.84,37.17,1.86
Arkhangelsk Oblast,2023,Beer,5390.97,55.91,2.80
Adygea,2023,Beer,2346.50,47.12,2.36
Kalmykia,2023,Beer,1340.37,50.68,2.53
Republic of Crimea,2023,Beer,10818.54,56.44,2.82
Krasnodar Krai,2023,Beer,27804.66,47.78,2.39
Astrakhan Oblast,2023,Beer,3599.71,37.87,1.89
Volgograd Oblast,2023,Beer,9217.04,37.32,1.87
Rostov Oblast,2023,Beer,13647.67,32.77,1.64
Sevastopol,2023,Beer,2119.37,37.96,1.90
Dagestan,2023,Beer,1879.80,5.86,0.29
Ingushetia,2023,Beer,0.00,0.00,0.00
Kabardino-Balkaria,2023,Beer,638.71,7.07,0.35
Karachay-Cherkessia,2023,Beer,381.23,8.14,0.41
North Ossetia-Alania,2023,Beer,566.54,8.32,0.42
Chechnya,2023,Beer,325.92,2.13,0.11
Stavropol Krai,2023,Beer,7249.94,25.08,1.25
Bashkortostan,2023,Beer,19313.98,47.37,2.37
Mari El,2023,Beer,3213.99,47.80,2.39
Mordovia,2023,Beer,3126.84,40.54,2.03
Tatarstan,2023,Beer,20261.80,50.63,2.53
Udmurtia,2023,Beer,8104.62,56.19,2.81
Chuvashia,2023,Beer,4856.18,41.39,2.07
Perm Krai,2023,Beer,13791.93,54.98,2.75
Kirov Oblast,2023,Beer,8225.77,72.28,3.61
Nizhny Novgorod Oblast,2023,Beer,15557.02,50.48,2.52
Orenburg Oblast,2023,Beer,8784.52,47.71,2.39
Penza Oblast,2023,Beer,6267.15,50.27,2.51
Samara Oblast,2023,Beer,18842.41,59.96,3.00
Saratov Oblast,2023,Beer,10213.64,42.47,2.12
Ulyanovsk Oblast,2023,Beer,5047.04,42.74,2.14
Kurgan Oblast,2023,Beer,5092.57,66.87,3.34
Sverdlovsk Oblast,2023,Beer,30256.81,71.37,3.57
Khanty–Mansi Autonomous Okrug – Yugra,2023,Beer,9865.33,57.01,2.85
Yamalo-Nenets Autonomous Okrug,2023,Beer,3272.60,63.87,3.19
Chelyabinsk Oblast,2023,Beer,19006.74,55.78,2.79
Tyumen Oblast,2023,Beer,9810.84,60.99,3.05
Altai Republic,2023,Beer,1157.08,54.90,2.74
Tuva,2023,Beer,1018.43,30.20,1.51
Khakassia,2023,Beer,4357.12,82.17,4.11
Altai Krai,2023,Beer,11984.28,56.24,2.81
Krasnoyarsk Krai,2023,Beer,14240.09,50.04,2.50
Irkutsk Oblast,2023,Beer,12609.74,53.79,2.69
Kemerovo Oblast,2023,Beer,14677.31,57.15,2.86
Novosibirsk Oblast,2023,Beer,15067.83,53.92,2.70
Omsk Oblast,2023,Beer,8186.89,44.69,2.23
Tomsk Oblast,2023,Beer,5859.33,55.69,2.78
Buryatia,2023,Beer,3466.95,35.57,1.78
Sakha (Yakutia),2023,Beer,4416.49,44.27,2.21
Zabaykalsky Krai,2023,Beer,3992.86,40.23,2.01
Kamchatka Krai,2023,Beer,2026.64,70.19,3.51
Primorsky Krai,2023,Beer,10474.11,57.55,2.88
Khabarovsk Krai,2023,Beer,7793.45,60.69,3.03
Amur Oblast,2023,Beer,5555.20,73.46,3.67
Magadan Oblast,2023,Beer,728.22,54.22,2.71
Sakhalin Oblast,2023,Beer,3103.54,67.39,3.37
Jewish Autonomous Oblast,2023,Beer,1222.60,82.91,4.15
Chukotka Autonomous Okrug,2023,Beer,239.59,50.08,2.50
Belgorod Oblast,2017,Vodka,547.23,3.52,1.41
Bryansk Oblast,2017,Vodka,522.86,4.29,1.72
Vladimir Oblast,2017,Vodka,941.86,6.73,2.69
Voronezh Oblast,2017,Vodka,863.75,3.69,1.47
Ivanovo Oblast,2017,Vodka,565.12,5.69,2.27
Kaluga Oblast,2017,Vodka,650.69,6.21,2.48
Kostroma Oblast,2017,Vodka,479.69,7.68,3.07
Kursk Oblast,2017,Vodka,409.67,3.66,1.46
Lipetsk Oblast,2017,Vodka,471.18,4.03,1.61
Moscow Oblast,2017,Vodka,6058.75,7.61,3.04
Oryol Oblast,2017,Vodka,289.57,3.85,1.54
Ryazan Oblast,2017,Vodka,494.86,4.36,1.75
Smolensk Oblast,2017,Vodka,597.03,6.35,2.54
Tambov Oblast,2017,Vodka,313.91,3.02,1.21
Tver Oblast,2017,Vodka,895.58,6.92,2.77
Tula Oblast,2017,Vodka,643.38,4.19,1.68
Yaroslavl Oblast,2017,Vodka,932.65,7.41,2.96
Moscow,2017,Vodka,5971.20,4.78,1.91
Republic of Karelia,2017,Vodka,651.57,11.12,4.45
Komi Republic,2017,Vodka,921.92,11.36,4.54
Nenets Autonomous Okrug,2017,Vodka,37.93,8.97,3.59
Vologda Oblast,2017,Vodka,1016.25,8.59,3.44
Kaliningrad Oblast,2017,Vodka,373.93,3.79,1.51
Leningrad Oblast,2017,Vodka,1448.35,7.86,3.15
Murmansk Oblast,2017,Vodka,645.29,8.91,3.56
Novgorod Oblast,2017,Vodka,399.03,6.54,2.62
Pskov Oblast,2017,Vodka,354.39,5.60,2.24
Saint Petersburg,2017,Vodka,2680.40,4.96,1.98
Arkhangelsk Oblast,2017,Vodka,1004.08,9.40,3.76
Adygea,2017,Vodka,184.33,3.92,1.57
Kalmykia,2017,Vodka,87.37,3.16,1.26
Republic of Crimea,2017,Vodka,744.56,3.87,1.55
Krasnodar Krai,2017,Vodka,1825.29,3.23,1.29
Astrakhan Oblast,2017,Vodka,377.33,3.77,1.51
Volgograd Oblast,2017,Vodka,747.59,2.92,1.17
Rostov Oblast,2017,Vodka,1068.23,2.51,1.00
Sevastopol,2017,Vodka,265.35,5.79,2.31
Dagestan,2017,Vodka,236.57,0.77,0.31
Ingushetia,2017,Vodka,10.33,0.22,0.09
Kabardino-Balkaria,2017,Vodka,47.16,0.53,0.21
Karachay-Cherkessia,2017,Vodka,36.12,0.77,0.31
North Ossetia-Alania,2017,Vodka,19.17,0.27,0.11
Chechnya,2017,Vodka,11.33,0.08,0.03
Stavropol Krai,2017,Vodka,534.76,1.86,0.74
Bashkortostan,2017,Vodka,2504.28,6.08,2.43
Mari El,2017,Vodka,443.66,6.45,2.58
Mordovia,2017,Vodka,471.97,5.80,2.32
Tatarstan,2017,Vodka,2759.86,6.99,2.80
Udmurtia,2017,Vodka,1278.91,8.54,3.42
Chuvashia,2017,Vodka,823.33,6.71,2.68
Perm Krai,2017,Vodka,1523.20,5.82,2.33
Kirov Oblast,2017,Vodka,1075.49,8.65,3.46
Nizhny Novgorod Oblast,2017,Vodka,1771.66,5.49,2.20
Orenburg Oblast,2017,Vodka,642.54,3.30,1.32
Penza Oblast,2017,Vodka,527.29,3.95,1.58
Samara Oblast,2017,Vodka,1147.04,3.56,1.42
Saratov Oblast,2017,Vodka,569.91,2.26,0.91
Ulyanovsk Oblast,2017,Vodka,432.46,3.47,1.39
Kurgan Oblast,2017,Vodka,233.51,2.79,1.12
Sverdlovsk Oblast,2017,Vodka,2329.57,5.38,2.15
Khanty–Mansi Autonomous Okrug – Yugra,2017,Vodka,994.64,6.02,2.41
Yamalo-Nenets Autonomous Okrug,2017,Vodka,394.58,7.70,3.08
Chelyabinsk Oblast,2017,Vodka,1364.08,3.89,1.56
Tyumen Oblast,2017,Vodka,704.21,4.68,1.87
Altai Republic,2017,Vodka,96.12,4.56,1.82
Tuva,2017,Vodka,57.84,1.81,0.72
Khakassia,2017,Vodka,136.20,2.52,1.01
Altai Krai,2017,Vodka,882.68,3.83,1.53
Krasnoyarsk Krai,2017,Vodka,1316.34,4.57,1.83
Irkutsk Oblast,2017,Vodka,1299.23,5.39,2.15
Kemerovo Oblast,2017,Vodka,1395.19,5.16,2.07
Novosibirsk Oblast,2017,Vodka,1042.73,3.74,1.50
Omsk Oblast,2017,Vodka,488.61,2.50,1.00
Tomsk Oblast,2017,Vodka,468.32,4.35,1.74
Buryatia,2017,Vodka,671.53,6.84,2.74
Sakha (Yakutia),2017,Vodka,681.92,7.06,2.82
Zabaykalsky Krai,2017,Vodka,545.81,5.17,2.07
Kamchatka Krai,2017,Vodka,295.29,9.73,3.89
Primorsky Krai,2017,Vodka,1259.93,6.59,2.64
Khabarovsk Krai,2017,Vodka,1232.17,9.27,3.71
Amur Oblast,2017,Vodka,495.74,6.22,2.49
Magadan Oblast,2017,Vodka,175.44,12.14,4.85
Sakhalin Oblast,2017,Vodka,603.78,12.67,5.07
Jewish Autonomous Oblast,2017,Vodka,125.33,7.75,3.10
Chukotka Autonomous Okrug,2017,Vodka,53.72,11.05,4.42
Belgorod Oblast,2018,Vodka,589.77,3.80,1.52
Bryansk Oblast,2018,Vodka,521.50,4.32,1.73
Vladimir Oblast,2018,Vodka,936.95,6.74,2.70
Voronezh Oblast,2018,Vodka,902.39,3.85,1.54
Ivanovo Oblast,2018,Vodka,574.66,5.86,2.34
Kaluga Oblast,2018,Vodka,652.17,6.21,2.48
Kostroma Oblast,2018,Vodka,484.33,7.87,3.15
Kursk Oblast,2018,Vodka,407.97,3.67,1.47
Lipetsk Oblast,2018,Vodka,483.94,4.15,1.66
Moscow Oblast,2018,Vodka,6308.28,7.80,3.12
Oryol Oblast,2018,Vodka,295.17,3.96,1.59
Ryazan Oblast,2018,Vodka,511.80,4.53,1.81
Smolensk Oblast,2018,Vodka,598.72,6.41,2.56
Tambov Oblast,2018,Vodka,338.00,3.27,1.31
Tver Oblast,2018,Vodka,902.65,7.05,2.82
Tula Oblast,2018,Vodka,659.74,4.30,1.72
Yaroslavl Oblast,2018,Vodka,954.34,7.62,3.05
Moscow,2018,Vodka,5899.71,4.66,1.86
Republic of Karelia,2018,Vodka,635.29,11.11,4.44
Komi Republic,2018,Vodka,925.11,11.62,4.65
Nenets Autonomous Okrug,2018,Vodka,40.52,9.64,3.85
Vologda Oblast,2018,Vodka,1043.91,8.88,3.55
Kaliningrad Oblast,2018,Vodka,417.22,4.19,1.67
Leningrad Oblast,2018,Vodka,1494.28,7.99,3.19
Murmansk Oblast,2018,Vodka,620.40,8.68,3.47
Novgorod Oblast,2018,Vodka,408.78,6.77,2.71
Pskov Oblast,2018,Vodka,354.40,5.66,2.27
Saint Petersburg,2018,Vodka,2718.18,4.95,1.98
Arkhangelsk Oblast,2018,Vodka,988.50,9.42,3.77
Adygea,2018,Vodka,147.93,3.13,1.25
Kalmykia,2018,Vodka,92.25,3.36,1.34
Republic of Crimea,2018,Vodka,785.02,4.07,1.63
Krasnodar Krai,2018,Vodka,1881.70,3.30,1.32
Astrakhan Oblast,2018,Vodka,388.49,3.90,1.56
Volgograd Oblast,2018,Vodka,775.07,3.04,1.22
Rostov Oblast,2018,Vodka,1079.31,2.54,1.02
Sevastopol,2018,Vodka,281.28,5.87,2.35
Dagestan,2018,Vodka,255.01,0.83,0.33
Ingushetia,2018,Vodka,14.44,0.30,0.12
Kabardino-Balkaria,2018,Vodka,42.62,0.48,0.19
Karachay-Cherkessia,2018,Vodka,40.37,0.86,0.34
North Ossetia-Alania,2018,Vodka,21.87,0.31,0.12
Chechnya,2018,Vodka,7.53,0.05,0.02
Stavropol Krai,2018,Vodka,563.04,1.96,0.78
Bashkortostan,2018,Vodka,2324.62,5.64,2.26
Mari El,2018,Vodka,453.04,6.61,2.64
Mordovia,2018,Vodka,450.28,5.55,2.22
Tatarstan,2018,Vodka,2779.01,7.01,2.80
Udmurtia,2018,Vodka,1282.17,8.60,3.44
Chuvashia,2018,Vodka,832.26,6.81,2.73
Perm Krai,2018,Vodka,1522.01,5.84,2.34
Kirov Oblast,2018,Vodka,1039.03,8.46,3.38
Nizhny Novgorod Oblast,2018,Vodka,2127.98,6.62,2.65
Orenburg Oblast,2018,Vodka,718.58,3.72,1.49
Penza Oblast,2018,Vodka,550.74,4.16,1.66
Samara Oblast,2018,Vodka,1259.07,3.92,1.57
Saratov Oblast,2018,Vodka,619.11,2.47,0.99
Ulyanovsk Oblast,2018,Vodka,441.72,3.57,1.43
Kurgan Oblast,2018,Vodka,264.51,3.21,1.28
Sverdlovsk Oblast,2018,Vodka,2350.84,5.44,2.17
Khanty–Mansi Autonomous Okrug – Yugra,2018,Vodka,1015.24,6.11,2.44
Yamalo-Nenets Autonomous Okrug,2018,Vodka,394.32,7.71,3.09
Chelyabinsk Oblast,2018,Vodka,1463.23,4.19,1.67
Tyumen Oblast,2018,Vodka,726.40,4.74,1.90
Altai Republic,2018,Vodka,94.86,4.49,1.80
Tuva,2018,Vodka,56.42,1.74,0.70
Khakassia,2018,Vodka,154.82,2.86,1.15
Altai Krai,2018,Vodka,904.88,3.97,1.59
Krasnoyarsk Krai,2018,Vodka,1246.80,4.33,1.73
Irkutsk Oblast,2018,Vodka,1338.97,5.56,2.22
Kemerovo Oblast,2018,Vodka,1396.55,5.20,2.08
Novosibirsk Oblast,2018,Vodka,1059.20,3.78,1.51
Omsk Oblast,2018,Vodka,552.40,2.84,1.14
Tomsk Oblast,2018,Vodka,461.96,4.30,1.72
Buryatia,2018,Vodka,624.71,6.37,2.55
Sakha (Yakutia),2018,Vodka,676.46,6.99,2.80
Zabaykalsky Krai,2018,Vodka,508.10,4.86,1.94
Kamchatka Krai,2018,Vodka,289.25,9.56,3.82
Primorsky Krai,2018,Vodka,1281.93,6.75,2.70
Khabarovsk Krai,2018,Vodka,1211.62,9.15,3.66
Amur Oblast,2018,Vodka,512.77,6.47,2.59
Magadan Oblast,2018,Vodka,173.66,12.15,4.86
Sakhalin Oblast,2018,Vodka,604.97,12.65,5.06
Jewish Autonomous Oblast,2018,Vodka,126.74,7.97,3.19
Chukotka Autonomous Okrug,2018,Vodka,52.57,10.95,4.38
Belgorod Oblast,2019,Vodka,584.03,3.77,1.51
Bryansk Oblast,2019,Vodka,510.00,4.26,1.70
Vladimir Oblast,2019,Vodka,933.88,6.77,2.71
Voronezh Oblast,2019,Vodka,907.32,3.88,1.55
Ivanovo Oblast,2019,Vodka,570.97,5.91,2.37
Kaluga Oblast,2019,Vodka,651.97,6.19,2.48
Kostroma Oblast,2019,Vodka,465.20,7.68,3.07
Kursk Oblast,2019,Vodka,400.78,3.63,1.45
Lipetsk Oblast,2019,Vodka,474.51,4.08,1.63
Moscow Oblast,2019,Vodka,6288.95,7.64,3.06
Oryol Oblast,2019,Vodka,289.05,3.92,1.57
Ryazan Oblast,2019,Vodka,501.79,4.47,1.79
Smolensk Oblast,2019,Vodka,590.04,6.37,2.55
Tambov Oblast,2019,Vodka,339.87,3.35,1.34
Tver Oblast,2019,Vodka,890.47,7.03,2.81
Tula Oblast,2019,Vodka,659.10,4.32,1.73
Yaroslavl Oblast,2019,Vodka,927.87,7.46,2.98
Moscow,2019,Vodka,5656.75,4.41,1.76
Republic of Karelia,2019,Vodka,610.13,10.91,4.36
Komi Republic,2019,Vodka,907.82,11.65,4.66
Nenets Autonomous Okrug,2019,Vodka,39.55,9.50,3.80
Vologda Oblast,2019,Vodka,1036.65,8.88,3.55
Kaliningrad Oblast,2019,Vodka,454.44,4.52,1.81
Leningrad Oblast,2019,Vodka,1507.33,7.88,3.15
Murmansk Oblast,2019,Vodka,604.44,8.59,3.43
Novgorod Oblast,2019,Vodka,397.19,6.65,2.66
Pskov Oblast,2019,Vodka,352.34,5.71,2.28
Saint Petersburg,2019,Vodka,2841.30,5.12,2.05
Arkhangelsk Oblast,2019,Vodka,953.49,9.26,3.70
Adygea,2019,Vodka,139.50,2.93,1.17
Kalmykia,2019,Vodka,98.73,3.63,1.45
Republic of Crimea,2019,Vodka,796.33,4.12,1.65
Krasnodar Krai,2019,Vodka,1872.12,3.25,1.30
Astrakhan Oblast,2019,Vodka,389.48,3.93,1.57
Volgograd Oblast,2019,Vodka,764.24,3.01,1.20
Rostov Oblast,2019,Vodka,1086.43,2.57,1.03
Sevastopol,2019,Vodka,276.79,5.54,2.22
Dagestan,2019,Vodka,276.90,0.89,0.36
Ingushetia,2019,Vodka,12.78,0.26,0.10
Kabardino-Balkaria,2019,Vodka,38.53,0.43,0.17
Karachay-Cherkessia,2019,Vodka,42.12,0.90,0.36
North Ossetia-Alania,2019,Vodka,22.23,0.32,0.13
Chechnya,2019,Vodka,18.11,0.12,0.05
Stavropol Krai,2019,Vodka,582.85,2.02,0.81
Bashkortostan,2019,Vodka,2339.44,5.68,2.27
Mari El,2019,Vodka,441.96,6.46,2.58
Mordovia,2019,Vodka,429.64,5.35,2.14
Tatarstan,2019,Vodka,2722.62,6.84,2.73
Udmurtia,2019,Vodka,1261.51,8.52,3.41
Chuvashia,2019,Vodka,828.27,6.83,2.73
Perm Krai,2019,Vodka,1529.14,5.91,2.36
Kirov Oblast,2019,Vodka,987.88,8.17,3.27
Nizhny Novgorod Oblast,2019,Vodka,2119.10,6.64,2.66
Orenburg Oblast,2019,Vodka,732.27,3.83,1.53
Penza Oblast,2019,Vodka,550.80,4.21,1.68
Samara Oblast,2019,Vodka,1284.73,4.01,1.60
Saratov Oblast,2019,Vodka,646.10,2.59,1.04
Ulyanovsk Oblast,2019,Vodka,494.21,4.02,1.61
Kurgan Oblast,2019,Vodka,251.90,3.11,1.24
Sverdlovsk Oblast,2019,Vodka,2317.80,5.37,2.15
Khanty–Mansi Autonomous Okrug – Yugra,2019,Vodka,987.02,5.90,2.36
Yamalo-Nenets Autonomous Okrug,2019,Vodka,388.69,7.61,3.04
Chelyabinsk Oblast,2019,Vodka,1471.94,4.23,1.69
Tyumen Oblast,2019,Vodka,720.82,4.63,1.85
Altai Republic,2019,Vodka,99.77,4.73,1.89
Tuva,2019,Vodka,62.55,1.91,0.77
Khakassia,2019,Vodka,143.48,2.66,1.06
Altai Krai,2019,Vodka,896.30,3.98,1.59
Krasnoyarsk Krai,2019,Vodka,1258.74,4.37,1.75
Irkutsk Oblast,2019,Vodka,1294.47,5.39,2.16
Kemerovo Oblast,2019,Vodka,1367.36,5.13,2.05
Novosibirsk Oblast,2019,Vodka,1051.08,3.75,1.50
Omsk Oblast,2019,Vodka,571.84,2.97,1.19
Tomsk Oblast,2019,Vodka,467.75,4.36,1.74
Buryatia,2019,Vodka,582.63,5.95,2.38
Sakha (Yakutia),2019,Vodka,651.42,6.71,2.68
Zabaykalsky Krai,2019,Vodka,517.63,5.00,2.00
Kamchatka Krai,2019,Vodka,284.52,9.49,3.79
Primorsky Krai,2019,Vodka,1274.15,6.75,2.70
Khabarovsk Krai,2019,Vodka,1182.52,8.98,3.59
Amur Oblast,2019,Vodka,512.45,6.51,2.61
Magadan Oblast,2019,Vodka,167.74,11.99,4.80
Sakhalin Oblast,2019,Vodka,600.81,12.62,5.05
Jewish Autonomous Oblast,2019,Vodka,123.61,7.89,3.16
Chukotka Autonomous Okrug,2019,Vodka,54.93,11.42,4.57
Belgorod Oblast,2020,Vodka,563.91,3.63,1.45
Bryansk Oblast,2020,Vodka,509.17,4.28,1.71
Vladimir Oblast,2020,Vodka,946.30,6.89,2.76
Voronezh Oblast,2020,Vodka,920.78,3.94,1.58
Ivanovo Oblast,2020,Vodka,567.79,5.95,2.38
Kaluga Oblast,2020,Vodka,674.97,6.41,2.57
Kostroma Oblast,2020,Vodka,458.76,7.67,3.07
Kursk Oblast,2020,Vodka,402.78,3.66,1.47
Lipetsk Oblast,2020,Vodka,489.03,4.22,1.69
Moscow Oblast,2020,Vodka,6528.54,7.80,3.12
Oryol Oblast,2020,Vodka,289.88,3.97,1.59
Ryazan Oblast,2020,Vodka,509.49,4.55,1.82
Smolensk Oblast,2020,Vodka,594.97,6.49,2.60
Tambov Oblast,2020,Vodka,349.14,3.47,1.39
Tver Oblast,2020,Vodka,907.83,7.22,2.89
Tula Oblast,2020,Vodka,678.44,4.47,1.79
Yaroslavl Oblast,2020,Vodka,938.22,7.59,3.04
Moscow,2020,Vodka,5481.14,4.23,1.69
Republic of Karelia,2020,Vodka,613.15,11.13,4.45
Komi Republic,2020,Vodka,927.03,12.14,4.86
Nenets Autonomous Okrug,2020,Vodka,41.16,9.89,3.96
Vologda Oblast,2020,Vodka,1069.74,9.23,3.69
Kaliningrad Oblast,2020,Vodka,593.63,5.85,2.34
Leningrad Oblast,2020,Vodka,1568.26,8.04,3.22
Murmansk Oblast,2020,Vodka,599.78,8.66,3.47
Novgorod Oblast,2020,Vodka,385.68,6.51,2.60
Pskov Oblast,2020,Vodka,366.70,5.99,2.39
Saint Petersburg,2020,Vodka,2710.25,4.86,1.94
Arkhangelsk Oblast,2020,Vodka,971.71,9.58,3.83
Adygea,2020,Vodka,143.15,2.94,1.17
Kalmykia,2020,Vodka,103.60,3.83,1.53
Republic of Crimea,2020,Vodka,816.44,4.21,1.68
Krasnodar Krai,2020,Vodka,1947.64,3.36,1.34
Astrakhan Oblast,2020,Vodka,395.30,4.03,1.61
Volgograd Oblast,2020,Vodka,771.11,3.05,1.22
Rostov Oblast,2020,Vodka,1130.10,2.67,1.07
Sevastopol,2020,Vodka,283.98,5.44,2.17
Dagestan,2020,Vodka,321.17,1.02,0.41
Ingushetia,2020,Vodka,14.67,0.30,0.12
Kabardino-Balkaria,2020,Vodka,45.86,0.51,0.20
Karachay-Cherkessia,2020,Vodka,49.53,1.05,0.42
North Ossetia-Alania,2020,Vodka,30.82,0.44,0.18
Chechnya,2020,Vodka,39.50,0.27,0.11
Stavropol Krai,2020,Vodka,620.32,2.14,0.85
